brind,startT,endT,commTime,commStart,commEnd
1038,,,2008-04-08 13:44:03,,
1038,2008-04-08 13:55:48,2008-04-08 14:03:21,,,
1038,,,,2008-04-08 13:55:48,2008-04-08 13:56:16
1038,,,,2008-04-08 14:02:56,2008-04-08 14:03:21
1003,2008-04-08 14:03:52,2008-04-08 14:10:43,,,
1003,,,2008-04-08 14:03:52,,
1003,2008-04-08 14:10:43,2008-04-08 14:38:14,,,
1003,,,2008-04-08 14:10:43,,
1003,,,,2008-04-08 14:38:08,2008-04-08 14:38:14
1039,2008-04-08 14:13:10,2008-04-08 14:17:28,,,
1039,,,2008-04-08 14:13:10,,
1039,,,2008-04-08 14:17:28,,
1023,2008-04-08 14:28:31,2008-04-08 14:37:24,,,
1023,,,2008-04-08 14:28:31,,
1023,2008-04-08 14:37:24,2008-04-08 15:44:58,,,
1023,,,2008-04-08 14:37:24,,
1023,,,,2008-04-08 15:03:23,2008-04-08 15:05:55
1023,,,,2008-04-08 15:44:51,2008-04-08 15:44:58
1006,2008-04-08 14:45:06,2008-04-08 14:50:46,,,
1006,,,2008-04-08 14:45:06,,
1006,2008-04-08 14:50:46,2008-04-08 15:26:52,,,
1006,,,2008-04-08 14:50:46,,
1006,,,,2008-04-08 15:06:25,2008-04-08 15:06:51
1006,,,,2008-04-08 15:26:08,2008-04-08 15:26:52
1046,2008-04-08 14:52:07,2008-04-08 14:57:13,,,
1046,,,2008-04-08 14:52:07,,
1046,2008-04-08 14:57:13,2008-04-08 16:02:33,,,
1046,,,2008-04-08 14:57:13,,
1046,,,,2008-04-08 15:17:43,2008-04-08 15:17:47
1046,,,,2008-04-08 16:01:33,2008-04-08 16:02:33
1036,2008-04-08 15:01:28,2008-04-08 15:06:43,,,
1036,,,2008-04-08 15:01:28,,
1036,,,2008-04-08 15:06:43,,
1091,2008-03-31 08:11:37,2008-03-31 09:07:38,,,
1091,,,2008-03-31 08:11:37,,
1091,,,,2008-03-31 08:37:12,2008-03-31 08:37:23
