brind,startT,endT,stayDuration,commDuration
1028,2008-04-08 10:23:35.010,2008-04-08 12:30:17.970,02:06:42.960000,
1028,2008-04-08 10:33:59.970,2008-04-08 10:34:02.970,,00:00:03
1028,2008-04-08 10:45:35.010,2008-04-08 10:45:42.000,,00:00:06.990000
1028,2008-04-08 10:46:44.970,2008-04-08 10:48:36.000,,00:01:51.030000
1028,2008-04-08 10:57:48.000,2008-04-08 10:58:45.000,,00:00:57
1028,2008-04-08 11:10:35.970,2008-04-08 11:11:51.990,,00:01:16.020000
1028,2008-04-08 11:45:30.990,2008-04-08 11:47:38.970,,00:02:07.980000
1028,2008-04-08 12:02:00.000,2008-04-08 12:02:49.980,,00:00:49.980000
1028,2008-04-08 12:28:42.000,2008-04-08 12:30:03.960,,00:01:21.960000
1137,2008-04-08 12:35:47.970,2008-04-08 14:08:56.940,01:33:08.970000,
1137,2008-04-08 13:07:36.960,2008-04-08 13:11:31.980,,00:03:55.020000
1137,2008-04-08 14:05:43.980,2008-04-08 14:05:51.000,,00:00:07.020000
1137,2008-04-08 14:06:11.970,2008-04-08 14:08:45.000,,00:02:33.030000
1003,2008-04-08 14:04:09.840,2008-04-08 14:10:22.980,00:06:13.140000,
1003,2008-04-08 14:03:15.990,2008-04-08 14:03:23.010,,00:00:07.020000
1003,2008-04-08 14:11:06.990,2008-04-08 14:37:52.980,00:26:45.990000,
1003,2008-04-08 14:17:39.000,2008-04-08 14:17:52.980,,00:00:13.980000
1003,2008-04-08 14:19:02.010,2008-04-08 14:19:11.970,,00:00:09.960000
1047,2008-04-08 14:45:54.990,2008-04-08 14:49:54.840,00:03:59.850000,
1047,2008-04-08 14:45:22.980,2008-04-08 14:45:49.950,,00:00:26.970000
1047,2008-04-08 14:50:41.970,2008-04-08 14:50:52.980,,00:00:11.010000
1045,2008-04-08 14:51:54.990,2008-04-08 14:58:50.010,00:06:55.020000,
1115,2008-04-08 15:06:55.980,2008-04-08 15:13:15.360,00:06:19.380000,
1081,2008-04-08 08:23:23.970,2008-04-08 09:44:33.840,01:21:09.870000,
1081,2008-04-08 08:25:29.940,2008-04-08 08:25:36.990,,00:00:07.050000
1081,2008-04-08 08:26:57.990,2008-04-08 08:27:08.970,,00:00:10.980000
1081,2008-04-08 08:51:36.990,2008-04-08 08:52:42.960,,00:01:05.970000
1081,2008-04-08 09:43:10.980,2008-04-08 09:44:12.000,,00:01:01.020000
1233,2008-04-08 10:01:37.950,2008-04-08 11:30:16.170,01:28:38.220000,
1233,2008-04-08 10:01:00.000,2008-04-08 10:01:12.930,,00:00:12.930000
1233,2008-04-08 10:02:16.980,2008-04-08 10:02:21.990,,00:00:05.010000
1233,2008-04-08 10:42:15.210,2008-04-08 10:43:14.970,,00:00:59.760000
1233,2008-04-08 11:29:32.970,2008-04-08 11:30:11.970,,00:00:39
1065,2008-04-08 11:31:06.000,2008-04-08 11:42:39.990,00:11:33.990000,
1065,2008-04-08 11:30:11.970,2008-04-08 11:30:22.980,,00:00:11.010000
1065,2008-04-08 11:42:15.990,2008-04-08 11:43:00.870,,00:00:44.880000
1068,2008-04-08 11:44:28.980,2008-04-08 14:13:31.980,02:29:03,
1068,2008-04-08 12:16:25.980,2008-04-08 12:16:40.980,,00:00:15
1068,2008-04-08 12:38:19.980,2008-04-08 12:39:00.990,,00:00:41.010000
1068,2008-04-08 12:56:43.980,2008-04-08 12:58:25.980,,00:01:42
1068,2008-04-08 13:13:36.990,2008-04-08 13:16:11.970,,00:02:34.980000
1068,2008-04-08 14:08:45.000,2008-04-08 14:08:46.980,,00:00:01.980000
1068,2008-04-08 14:09:36.990,2008-04-08 14:13:01.980,,00:03:24.990000
1012,2008-04-08 14:15:30.960,2008-04-08 16:10:20.280,01:54:49.320000,
1012,2008-04-08 14:14:58.980,2008-04-08 14:15:20.970,,00:00:21.990000
1012,2008-04-08 14:55:11.970,2008-04-08 14:56:23.970,,00:01:12
1012,2008-04-08 15:04:09.960,2008-04-08 15:05:22.980,,00:01:13.020000
1012,2008-04-08 15:51:42.000,2008-04-08 15:52:44.010,,00:01:02.010000
1012,2008-04-08 16:07:33.960,2008-04-08 16:09:51.000,,00:02:17.040000
1082,2008-04-08 08:22:41.010,2008-04-08 08:42:54.000,00:20:12.990000,
1082,2008-04-08 08:31:12.990,2008-04-08 08:31:39.000,,00:00:26.010000
1082,2008-04-08 08:42:57.990,2008-04-08 08:43:03.000,,00:00:05.010000
1082,2008-04-08 08:43:12.000,2008-04-08 08:43:27.990,,00:00:15.990000
1177,2008-04-08 09:00:10.980,2008-04-08 09:07:21.210,00:07:10.230000,
1177,2008-04-08 09:07:46.980,2008-04-08 09:08:02.010,,00:00:15.030000
1181,2008-04-08 09:31:56.970,2008-04-08 11:29:02.970,01:57:06,
1181,2008-04-08 10:06:54.990,2008-04-08 10:08:05.970,,00:01:10.980000
1181,2008-04-08 10:16:47.850,2008-04-08 10:18:30.990,,00:01:43.140000
1181,2008-04-08 10:24:58.980,2008-04-08 10:25:46.980,,00:00:48
1181,2008-04-08 10:25:58.980,2008-04-08 10:26:23.010,,00:00:24.030000
1181,2008-04-08 11:02:11.970,2008-04-08 11:03:42.990,,00:01:31.020000
1181,2008-04-08 11:03:59.340,2008-04-08 11:05:00.990,,00:01:01.650000
1181,2008-04-08 11:12:24.990,2008-04-08 11:12:38.970,,00:00:13.980000
1181,2008-04-08 11:23:21.000,2008-04-08 11:25:25.980,,00:02:04.980000
1181,2008-04-08 11:27:14.970,2008-04-08 11:28:49.980,,00:01:35.010000
1056,2008-04-08 11:35:06.990,2008-04-08 12:25:42.990,00:06:17.933,
1056,2008-04-08 11:34:29.970,2008-04-08 11:34:42.000,,00:00:12.030000
1056,2008-04-08 11:42:12.990,2008-04-08 11:42:27.960,,00:00:14.970000
1056,2008-04-08 12:01:36.990,2008-04-08 12:02:23.010,,00:00:46.020000
1056,2008-04-08 12:09:05.970,2008-04-08 12:09:35.010,,00:00:29.040000
1056,2008-04-08 12:23:12.990,2008-04-08 12:25:12.990,,00:03:07.020000
1126,2008-04-08 12:27:45.990,2008-04-08 14:52:19.980,02:24:33.990000,
1126,2008-04-08 13:12:34.980,2008-04-08 13:12:45.000,,00:00:10.020000
1126,2008-04-08 13:31:11.970,2008-04-08 13:34:18.990,,00:03:07.020000
1126,2008-04-08 14:20:29.970,2008-04-08 14:21:18.960,,00:00:48.990000
1126,2008-04-08 14:38:23.850,2008-04-08 14:40:08.970,,00:01:45.120000
1126,2008-04-08 14:46:29.970,2008-04-08 14:46:39.990,,00:00:10.020000
1126,2008-04-08 14:47:15.990,2008-04-08 14:51:01.980,,00:03:45.990000
1046,2008-04-08 14:52:15.990,2008-04-08 14:56:21.000,00:04:05.010000,
1046,2008-04-08 14:56:23.970,2008-04-08 14:56:45.780,,00:00:21.810000
1046,2008-04-08 14:57:08.970,2008-04-08 16:02:33.150,01:05:24.180000,
1046,2008-04-08 15:16:34.980,2008-04-08 15:17:24.990,,00:00:50.010000
1046,2008-04-08 16:00:41.970,2008-04-08 16:02:11.970,,00:01:30
